id: Gobiocypris_rarus:0.21006925 | external/internal (T/F): True | ancestor: None
id: ((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516 | external/internal (T/F): False | ancestor: (Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924

id: (Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018 | external/internal (T/F): False | ancestor: ((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516

id: (Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226 | external/internal (T/F): False | ancestor: ((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516

id: Homo_sapiens:0.03963178 | external/internal (T/F): True | ancestor: (Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018

id: (Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087 | external/internal (T/F): False | ancestor: (Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018

id: Delphinapterus_leucas:0.02961825 | external/internal (T/F): True | ancestor: (Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226

id: Bubalus_bubalis:0.10883105 | external/internal (T/F): True | ancestor: (Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226

id: Macaca_mulatta:0.00000012 | external/internal (T/F): True | ancestor: (Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087

id: Macaca_fascicularis:0.00304606 | external/internal (T/F): True | ancestor: (Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087

External Nodes: 15
Internal Nodes: 12
Total Nodes: 27
